id,uuid,product_id,category_id,category_name,product_name,product_price,product_image,product_link,product_api_sold,product_web_sold,product_vists
7,cl9ugoc3v000cupb4rzxockbt,MLV575195319,MLV1747,Accesorios para Vehículos,Aceite Semisintetico 15w40. Tienda Fisica Plaza Vzla!!!,10.1,http://http2.mlstatic.com/D_973882-MLV49523478250_032022-I.jpg,https://articulo.mercadolibre.com.ve/MLV-575195319-aceite-semisintetico-15w40-tienda-fisica-plaza-vzla-_JM,500,1105,750
118,cl9uh5w590074upa0q6o79eal,MLV580055353,MLV1574,Hogar y Muebles,Control Codiplug Unik Saw Novus Para Portón Eléctrico,10.5,http://http2.mlstatic.com/D_721359-MLV49871984916_052022-I.jpg,https://articulo.mercadolibre.com.ve/MLV-580055353-control-codiplug-unik-saw-novus-para-porton-electrico-_JM,500,1099,555
143,cl9uh6p2c008mupa0n3tcibaq,MLV558492487,MLV1430,"Ropa, Zapatos y Accesorios",Botas De Goma Pvc Dunlop K680011 Dane Verde Alta 38 - 46,15,http://http2.mlstatic.com/D_711049-MLV41349841794_042020-I.jpg,https://articulo.mercadolibre.com.ve/MLV-558492487-botas-de-goma-pvc-dunlop-k680011-dane-verde-alta-38-46-_JM,500,1092,574
117,cl9uh5vf10072upa0bioj7fos,MLV709714155,MLV1574,Hogar y Muebles,Lamparas Led Reflector 50w,3.49,http://http2.mlstatic.com/D_609262-MLV48985621344_012022-I.jpg,https://articulo.mercadolibre.com.ve/MLV-709714155-lamparas-led-reflector-50w-_JM,500,1084,913
111,cl9uh5p83006qupa02cllc76r,MLV481350715,MLV424985,Herramientas,Tester Multimetro Profesional Pantalla Digital Oferta,8.75,http://http2.mlstatic.com/D_751264-MLV51195868657_082022-I.jpg,https://articulo.mercadolibre.com.ve/MLV-481350715-tester-multimetro-profesional-pantalla-digital-oferta-_JM,500,1039,482
17,cl9ugq5p9000wupb4nzv9a87d,MLV545408777,MLV442454,Agro,"Bomba De Agua Pedrollo Periferica 1/2 Hp, 110 Voltios Italy",110,http://http2.mlstatic.com/D_985202-MLV31252110610_062019-I.jpg,https://articulo.mercadolibre.com.ve/MLV-545408777-bomba-de-agua-pedrollo-periferica-12-hp-110-voltios-italy-_JM,500,1037,141
59,cl9uh2sd4003mupa06dc4cucj,MLV573620270,MLV1648,Computación,Cartuchos Hp 901 664 662 122 21 22 74 75 27 28 56 57 60 61 ,11,http://http2.mlstatic.com/D_793431-MLV50580873892_072022-I.jpg,https://articulo.mercadolibre.com.ve/MLV-573620270-cartuchos-hp-901-664-662-122-21-22-74-75-27-28-56-57-60-61-_JM,500,1011,506
12,cl9ugpy93000mupb4k1ljusps,MLV473909160,MLV1747,Accesorios para Vehículos,Valvula Del Minimo Iac Optra Design Advance Aveo Corsa Cielo,10,http://http2.mlstatic.com/D_642323-MLV42316551163_062020-I.jpg,https://articulo.mercadolibre.com.ve/MLV-473909160-valvula-del-minimo-iac-optra-design-advance-aveo-corsa-cielo-_JM,500,975,467
124,cl9uh626k007iupa03xjudalc,MLV479127749,MLV1499,Industrias,Kit Cilindro Y Cuchilla Ricoh 1015 1018 1500 2020 2000,10.5,http://http2.mlstatic.com/D_608031-MLV31248345052_062019-I.jpg,https://articulo.mercadolibre.com.ve/MLV-479127749-kit-cilindro-y-cuchilla-ricoh-1015-1018-1500-2020-2000-_JM,500,948,83
104,cl9uh5i5h006aupa0xakfkly4,MLV490108303,MLV1246,Estética y Belleza,Mascarilla Colageno Ojos Ojeras Quita Bolsas Pilaten Chacao,2,http://http2.mlstatic.com/D_768234-MLV48700132916_122021-I.jpg,https://articulo.mercadolibre.com.ve/MLV-490108303-mascarilla-colageno-ojos-ojeras-quita-bolsas-pilaten-chacao-_JM,500,937,317
